exchange,symbol,ticker,name,isin,currency,source,asof_date
NSE,20MICRONS,20MICRONS.NS,20 Microns Limited,INE144J01027,INR,NSE:EQUITY_L,2026-02-18
NSE,21STCENMGM,21STCENMGM.NS,21st Century Management Services Limited,INE253B01015,INR,NSE:EQUITY_L,2026-02-18
NSE,360ONE,360ONE.NS,360 ONE WAM LIMITED,INE466L01038,INR,NSE:EQUITY_L,2026-02-18
NSE,3IINFOLTD,3IINFOLTD.NS,3i Infotech Limited,INE748C01038,INR,NSE:EQUITY_L,2026-02-18
NSE,3MINDIA,3MINDIA.NS,3M India Limited,INE470A01017,INR,NSE:EQUITY_L,2026-02-18
NSE,3PLAND,3PLAND.NS,3P Land Holdings Limited,INE105C01023,INR,NSE:EQUITY_L,2026-02-18
NSE,5PAISA,5PAISA.NS,5Paisa Capital Limited,INE618L01018,INR,NSE:EQUITY_L,2026-02-18
NSE,63MOONS,63MOONS.NS,63 moons technologies limited,INE111B01023,INR,NSE:EQUITY_L,2026-02-18
NSE,A2ZINFRA,A2ZINFRA.NS,A2Z Infra Engineering Limited,INE619I01012,INR,NSE:EQUITY_L,2026-02-18
NSE,AAATECH,AAATECH.NS,AAA Technologies Limited,INE0D0U01013,INR,NSE:EQUITY_L,2026-02-18
NSE,AADHARHFC,AADHARHFC.NS,Aadhar Housing Finance Limited,INE883F01010,INR,NSE:EQUITY_L,2026-02-18
NSE,AAKASH,AAKASH.NS,Aakash Exploration Services Limited,INE087Z01024,INR,NSE:EQUITY_L,2026-02-18
NSE,AAREYDRUGS,AAREYDRUGS.NS,Aarey Drugs & Pharmaceuticals Limited,INE198H01019,INR,NSE:EQUITY_L,2026-02-18
NSE,AARON,AARON.NS,Aaron Industries Limited,INE721Z01010,INR,NSE:EQUITY_L,2026-02-18
NSE,AARTECH,AARTECH.NS,Aartech Solonics Limited,INE01C001026,INR,NSE:EQUITY_L,2026-02-18
NSE,AARTIDRUGS,AARTIDRUGS.NS,Aarti Drugs Limited,INE767A01016,INR,NSE:EQUITY_L,2026-02-18
NSE,AARTIIND,AARTIIND.NS,Aarti Industries Limited,INE769A01020,INR,NSE:EQUITY_L,2026-02-18
NSE,AARTIPHARM,AARTIPHARM.NS,Aarti Pharmalabs Limited,INE0LRU01027,INR,NSE:EQUITY_L,2026-02-18
NSE,AARTISURF,AARTISURF.NS,Aarti Surfactants Limited,INE09EO01013,INR,NSE:EQUITY_L,2026-02-18
NSE,AARVI,AARVI.NS,Aarvi Encon Limited,INE754X01016,INR,NSE:EQUITY_L,2026-02-18
NSE,AAVAS,AAVAS.NS,Aavas Financiers Limited,INE216P01012,INR,NSE:EQUITY_L,2026-02-18
NSE,ABAN,ABAN.NS,Aban Offshore Limited,INE421A01028,INR,NSE:EQUITY_L,2026-02-18
NSE,ABB,ABB.NS,ABB India Limited,INE117A01022,INR,NSE:EQUITY_L,2026-02-18
NSE,ABBOTINDIA,ABBOTINDIA.NS,Abbott India Limited,INE358A01014,INR,NSE:EQUITY_L,2026-02-18
NSE,ABCAPITAL,ABCAPITAL.NS,Aditya Birla Capital Limited,INE674K01013,INR,NSE:EQUITY_L,2026-02-18
NSE,ABCOTS,ABCOTS.NS,A B Cotspin India Limited,INE08PH01015,INR,NSE:EQUITY_L,2026-02-18
NSE,ABDL,ABDL.NS,Allied Blenders and Distillers Limited,INE552Z01027,INR,NSE:EQUITY_L,2026-02-18
NSE,ABFRL,ABFRL.NS,Aditya Birla Fashion and Retail Limited,INE647O01011,INR,NSE:EQUITY_L,2026-02-18
NSE,ABINFRA,ABINFRA.NS,A B Infrabuild Limited,INE00YB01025,INR,NSE:EQUITY_L,2026-02-18
NSE,ABLBL,ABLBL.NS,Aditya Birla Lifestyle Brands Limited,INE14LE01019,INR,NSE:EQUITY_L,2026-02-18
NSE,ABMINTLLTD,ABMINTLLTD.NS,ABM International Limited,INE251C01025,INR,NSE:EQUITY_L,2026-02-18
NSE,ABREL,ABREL.NS,Aditya Birla Real Estate Limited,INE055A01016,INR,NSE:EQUITY_L,2026-02-18
NSE,ABSLAMC,ABSLAMC.NS,Aditya Birla Sun Life AMC Limited,INE404A01024,INR,NSE:EQUITY_L,2026-02-18
NSE,ACC,ACC.NS,ACC Limited,INE012A01025,INR,NSE:EQUITY_L,2026-02-18
NSE,ACCELYA,ACCELYA.NS,Accelya Solutions India Limited,INE793A01012,INR,NSE:EQUITY_L,2026-02-18
NSE,ACCURACY,ACCURACY.NS,Accuracy Shipping Limited,INE648Z01023,INR,NSE:EQUITY_L,2026-02-18
NSE,ACE,ACE.NS,Action Construction Equipment Limited,INE731H01025,INR,NSE:EQUITY_L,2026-02-18
NSE,ACEINTEG,ACEINTEG.NS,Ace Integrated Solutions Limited,INE543V01017,INR,NSE:EQUITY_L,2026-02-18
NSE,ACI,ACI.NS,Archean Chemical Industries Limited,INE128X01021,INR,NSE:EQUITY_L,2026-02-18
NSE,ACL,ACL.NS,Andhra Cements Limited,INE666E01020,INR,NSE:EQUITY_L,2026-02-18
NSE,ACMESOLAR,ACMESOLAR.NS,Acme Solar Holdings Limited,INE622W01025,INR,NSE:EQUITY_L,2026-02-18
NSE,ACUTAAS,ACUTAAS.NS,Acutaas Chemicals Limited,INE00FF01025,INR,NSE:EQUITY_L,2026-02-18
NSE,ADANIENSOL,ADANIENSOL.NS,Adani Energy Solutions Limited,INE931S01010,INR,NSE:EQUITY_L,2026-02-18
NSE,ADANIENT,ADANIENT.NS,Adani Enterprises Limited,INE423A01024,INR,NSE:EQUITY_L,2026-02-18
NSE,ADANIGREEN,ADANIGREEN.NS,Adani Green Energy Limited,INE364U01010,INR,NSE:EQUITY_L,2026-02-18
NSE,ADANIPORTS,ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited,INE742F01042,INR,NSE:EQUITY_L,2026-02-18
NSE,ADANIPOWER,ADANIPOWER.NS,Adani Power Limited,INE814H01029,INR,NSE:EQUITY_L,2026-02-18
NSE,ADFFOODS,ADFFOODS.NS,ADF Foods Limited,INE982B01027,INR,NSE:EQUITY_L,2026-02-18
NSE,ADL,ADL.NS,Archidply Decor Limited,INE0CHO01012,INR,NSE:EQUITY_L,2026-02-18
NSE,ADOR,ADOR.NS,Ador Welding Limited,INE045A01017,INR,NSE:EQUITY_L,2026-02-18
NSE,ADROITINFO,ADROITINFO.NS,Adroit Infotech Limited,INE737B01033,INR,NSE:EQUITY_L,2026-02-18
NSE,ADSL,ADSL.NS,Allied Digital Services Limited,INE102I01027,INR,NSE:EQUITY_L,2026-02-18
NSE,ADVAIT,ADVAIT.NS,Advait Energy Transitions Limited,INE0ALI01010,INR,NSE:EQUITY_L,2026-02-18
NSE,ADVANCE,ADVANCE.NS,Advance Agrolife Limited,INE1B0W01010,INR,NSE:EQUITY_L,2026-02-18
NSE,ADVANIHOTR,ADVANIHOTR.NS,Advani Hotels & Resorts (India) Limited,INE199C01026,INR,NSE:EQUITY_L,2026-02-18
NSE,ADVENTHTL,ADVENTHTL.NS,Advent Hotels International Limited,INE28GN01010,INR,NSE:EQUITY_L,2026-02-18
NSE,ADVENZYMES,ADVENZYMES.NS,Advanced Enzyme Technologies Limited,INE837H01020,INR,NSE:EQUITY_L,2026-02-18
